Topic,Count,Name,Representation,Representative_Docs,Representative Documents
-1,356,-1_got_fit_degree_work,"['got', 'fit', 'degree', 'work', 'let', 'ferragamo', 'new', 'clown', 'thrones', 'week']","['cheer thrones gilded returned next week george 1111 hermann drive houston tx 77004 713523136', 'thought said taking fancy new york online course fit course fit', 'thought said would done time got home vacation']","['cheer thrones gilded returned next week george 1111 hermann drive houston tx 77004 713523136', 'thought said taking fancy new york online course fit course fit', 'thought said would done time got home vacation']"
0,259,0_told_new_father_know,"['told', 'new', 'father', 'know', 'said', 'like', 'guess', 'think', 'mother', 'dad']","['new town really like', 'know guess look like', 'said father told date']","['new town really like', 'know guess look like', 'said father told date']"
1,199,1_farrier_new_farriers_time,"['farrier', 'new', 'farriers', 'time', 'going', 'said', 'fashion', 'think', 'need', 'says']","['new farrier', 'found new farrier', 'found farrier']","['new farrier', 'found new farrier', 'found farrier']"
2,144,2_contractors_builders_carpenters_workers,"['contractors', 'builders', 'carpenters', 'workers', 'independent', 'job', 'paid', 'employees', 'like', 'looks']","['employee independent contractors', 'worry independent contractors', 'think independent contractors employees']","['employee independent contractors', 'worry independent contractors', 'think independent contractors employees']"
3,96,3_shoes_shoe_horse_farrier,"['shoes', 'shoe', 'horse', 'farrier', 'horseshoes', 'new', 'need', 'matching', 'slippers', 'horses']","['made think would make shoes', 'course need see farrier new shoes', 'also need shoes farrier']","['made think would make shoes', 'course need see farrier new shoes', 'also need shoes farrier']"
4,81,4_painters_cave_artist_block,"['painters', 'cave', 'artist', 'block', 'paint', 'want', 'painterly', 'tusks', 'oh', 'portrait']","['work i cave want latte artist', 'cave cave artist', 'cave cave artist']","['work i cave want latte artist', 'cave cave artist', 'cave cave artist']"
5,71,5_mechanics_auto_popular_home,"['mechanics', 'auto', 'popular', 'home', 'matt', 'calls', 'orbital', 'car', 'working', 'help']","['yes matt one diy mechanics popular tv', 'said mechanics would come home', 'any good mechanics around here']","['yes matt one diy mechanics popular tv', 'said mechanics would come home', 'any good mechanics around here']"
6,66,6_plumbers_crack_union_snake,"['plumbers', 'crack', 'union', 'snake', 'steamfitters', 'local', 'pipes', 'rid', 'organ', 'know']","['sorry time stop plumbers crack', 'plumbers crack like', 'know plumbers']","['sorry time stop plumbers crack', 'plumbers crack like', 'know plumbers']"
7,63,7_alterations_inhouse_need_needs,"['alterations', 'inhouse', 'need', 'needs', 'make', 'ready', 'sir', 'wednesday', 'necessary', 'available']","['need alterations call', 'alterations done', 'alterations call']","['need alterations call', 'alterations done', 'alterations call']"
8,49,8_blacksmiths_welders_shop_blacksmithing,"['blacksmiths', 'welders', 'shop', 'blacksmithing', 'quarantine', 'mall', 'service', 'told', 'closed', 'iron']","['blacksmiths gone', 'blacksmiths around best could', 'blacksmiths quarantine']","['blacksmiths gone', 'blacksmiths around best could', 'blacksmiths quarantine']"
9,49,9_masons_joined_line_masondixon,"['masons', 'joined', 'line', 'masondixon', 'masonic', 'join', 'honey', 'south', 'lodge', 'club']","['masons mind', 'since joined masons', 'see joined masons']","['masons mind', 'since joined masons', 'see joined masons']"
10,47,10_seamstress_tailors_knight_dummy,"['seamstress', 'tailors', 'knight', 'dummy', 'upholsterers', 'sewing', 'dressmakers', 'lord', 'thou', 'line']","['know sewing thing think taking far time seen happened seamstress', 'title seamstress knight arun knight passionate sewing disguises young woman aria secretly pursue art tapestries narrate knightly exploits secret revealed ladies impressed aru', 'give job seamstress']","['know sewing thing think taking far time seen happened seamstress', 'title seamstress knight arun knight passionate sewing disguises young woman aria secretly pursue art tapestries narrate knightly exploits secret revealed ladies impressed aru', 'give job seamstress']"
11,44,11_masonry_head_bricklayers_stone,"['masonry', 'head', 'bricklayers', 'stone', 'brick', 'kid', 'ex', 'union', 'ya', 'wall']","['masonry ask', 'head masonry', 'get masonry']","['masonry ask', 'head masonry', 'get masonry']"
12,38,12_little_waist_inseam_shorten,"['little', 'waist', 'inseam', 'shorten', 'cuffs', 'shoulders', 'bit', 'let', 'sleeves', 'tight']","['let waist little tuesdays', 'take waist little', 'always bring waist little bit']","['let waist little tuesdays', 'take waist little', 'always bring waist little bit']"
13,31,13_color_colorblind_blind_farrier,"['color', 'colorblind', 'blind', 'farrier', 'colours', 'said', 'bad', 'wrong', 'farriers', 'told']","['told new farrier color blind', 'color blind', 'farrier color blind']","['told new farrier color blind', 'color blind', 'farrier color blind']"
14,23,14_peach_eat_die_paradise,"['peach', 'eat', 'die', 'paradise', 'apple', 'tell', 'wait', 'meant', 'oh', 'incident']","['let eat peach', 'say peach', 'please tell peach']","['let eat peach', 'say peach', 'please tell peach']"
15,23,15_quarantine_closed_covid_pandemic,"['quarantine', 'closed', 'covid', 'pandemic', 'amazon', 'covid19', 'quarantined', 'farrier', 'best', 'harold']","['still quarantine guess bought amazon', 'regular farrier covid quarantine', 'farrier quarantine best could']","['still quarantine guess bought amazon', 'regular farrier covid quarantine', 'farrier quarantine best could']"
16,20,16_freemason_freemasonry_freemasons_joining,"['freemason', 'freemasonry', 'freemasons', 'joining', 'admit', 'grow', 'granddad', 'country', 'fact', 'whisper']","['exactly freemason', 'yes freemason yet admit women', 'yes dad freemason']","['exactly freemason', 'yes freemason yet admit women', 'yes dad freemason']"
17,20,17_quantum_mechanics_chicken_finally,"['quantum', 'mechanics', 'chicken', 'finally', 'explain', 'theory', 'news', 'welcome', 'thing', 'says']","['well maybe get quantum mechanics', 'quantum mechanics says chicken', 'quantum mechanics']","['well maybe get quantum mechanics', 'quantum mechanics says chicken', 'quantum mechanics']"
